COPT_LEMMA,POS 1,POS 2,FORMS,SENSES
ⲡⲱⲥ,['39'],[],['ⲡⲟⲥ'],[]
ⲡⲉ ,['11'],[' (subject / copular pronoun)'],"['~ⲉ', 'ⲧⲏ', 'ⲛⲏ', 'ⲇⲉ', 'ⲛⲉ', 'ⲧⲉ', 'ⲡⲉ']",[]
ⲡⲉ ,['6'],[' (background marker)'],['ⲡⲉ'],[]
ⲛⲉ- ,['12'],[' (preterite converter)'],"['ⲉⲛⲉ', 'ⲛⲁⲣⲉ', 'ⲛⲉ']",[]
First Present,['13'],[],"['ϯⲓ', '^', 'ⲕⲭ', 'ⲧⲉⲣ', 'ⲧⲓ', 'ⲧⲉⲙ', 'ⲥⲁⲓ', 'ⲥⲟⲩ', 'ⲭ', 'ⲧⲉⲧⲉⲛ', 'ⲧⲉⲛ', 'ⲥⲉ', 'ⲥ', 'ϥ', 'ⲕ', 'ϯ', 'ⲧⲉ']",[]
ϯ] ϯ- ,['5'],[' (compds & phraseology)'],"['ϯⲓ', 'ⲇⲓ', '~ⲓ', 'ⲧⲓ', 'ⲙⲁϯ', 'ⲙⲟⲓ', 'ⲙⲁ', 'ϯ']",[]
ⲉ- ,['12'],[' (circumst. converter)'],"['$', 'ⲉⲣⲉ', 'ⲉ']",[]
ⲙⲡⲉ- Neg. Perfect,['13'],[],"['ⲛⲉⲙⲡⲉⲧⲉⲛ', 'ⲛⲉⲙⲡⲉⲛ', 'ⲛⲉⲙⲡⲉⲕ', 'ⲛⲉⲙⲡⲓ', '$ⲛⲡⲉϥ', '$ⲛⲡⲉⲥ', '$ⲛⲡⲟⲩ', '$ⲛⲡⲉ', '$ⲙⲡⲉⲧⲉⲛ', '$ⲙⲡⲉϥ', '$ⲙⲡϥ', '$ⲙⲡⲉⲥ', '$ⲙⲡⲥ', '$ⲙⲡⲉⲛ', '$ⲙⲡⲉⲕ', '$ⲙⲡⲕ', '$ⲙⲡⲟⲩ', '$ⲙⲡⲓ', '$ⲙⲡⲉ', 'ⲉⲧⲉⲛⲡⲉϥ', 'ⲉⲧⲉⲛⲡⲉⲥ', 'ⲉⲧⲉⲛⲡⲟⲩ', 'ⲉⲧⲉⲛⲡⲉ', 'ⲡⲉⲫ', 'ⲛⲡⲉⲛ', 'ⲛⲡⲉⲕ', 'ⲛⲡⲓ', 'ⲛⲡⲉϥ', 'ⲛⲡⲉⲥ', 'ⲛⲡⲟⲩ', 'ⲛⲡⲉ', 'ⲛⲉⲙⲡⲉϥ', 'ⲛⲉⲙⲡⲉⲥ', 'ⲛⲉⲙⲡⲟⲩ', 'ⲛⲉⲙⲡⲉ', 'ⲉⲧⲉⲙⲡⲉⲕ', 'ⲉⲧⲉⲙⲡⲕ', 'ⲉⲧⲉⲙⲡⲉⲧⲉⲛ', 'ⲉⲧⲉⲙⲡⲉⲥ', 'ⲉⲧⲉⲙⲡⲉⲛ', 'ⲉⲙⲡⲉϥ', 'ⲉⲙⲡⲉⲥ', 'ⲉⲙⲡⲉⲕ', 'ⲙⲡⲉⲣⲉ', 'ⲙⲡⲉⲕ', 'ⲉⲧⲉⲙⲡⲟⲩ', 'ⲉⲧⲉⲙⲡⲉϥ', 'ⲉⲧⲉⲙⲡϥ', 'ⲉⲧⲉⲙⲡⲓ', 'ⲙⲡⲉϥ', 'ⲙⲡⲉⲥ', 'ⲉⲧⲉⲙⲡⲉ', 'ⲙⲡⲁϥ', 'ⲙⲡⲁⲥ', 'ⲙⲡⲁⲣⲉ', 'ⲙⲡϥ', 'ⲙⲡⲥ', 'ⲙⲡⲕ', 'ⲙⲡⲉⲧⲉⲛ', 'ⲙⲡⲉⲛ', 'ⲉⲙⲡϥ', 'ⲉⲙⲡⲉⲧⲉⲛ', 'ⲉⲙⲡⲥ', 'ⲉⲙⲡⲉⲛ', 'ⲉⲙⲡⲕ', 'ⲉⲙⲡⲟⲩ', 'ⲉⲙⲡⲓ', 'ⲉⲙⲡⲉ', 'ⲡⲉⲥ', 'ⲡⲉⲕ', 'ⲡϥ', 'ⲡⲥ', 'ⲡⲕ', 'ⲙⲡⲉⲣ', 'ⲡⲉⲧⲉⲛ', 'ⲡⲉϥ', 'ⲡⲉⲛ', 'ⲡⲓ', 'ⲙⲡⲟⲩ', 'ⲙⲡⲓ', 'ⲙⲡⲉ', 'ⲡⲉ', 'ⲡⲟⲩ']",[]
ⲙⲡⲁⲧⲉ- Neg. Completive,['13'],[],"['ⲛⲡⲁⲧⲉⲛ', '$ⲛⲡⲁⲧⲉϥ', '$ⲛⲡⲁⲧⲉⲥ', '$ⲛⲡⲁⲧⲉⲛ', '$ⲛⲡⲁⲧⲉⲕ', '$ⲛⲡⲁⲧⲟⲩ', '$ⲛⲡⲁϯ', '$ⲛⲡⲁⲧⲉ', '$ⲙⲡⲁⲧⲉϥ', '$ⲙⲡⲁⲧϥ', '$ⲙⲡⲁⲧⲉⲧⲉⲛ', '$ⲙⲡⲁⲧⲉⲥ', '$ⲙⲡⲁⲧⲥ', '$ⲙⲡⲁⲧⲉⲛ', '$ⲙⲡⲁⲧⲉⲕ', '$ⲙⲡⲁⲧⲕ', '$ⲙⲡⲁⲧⲟⲩ', '$ⲙⲡⲁϯ', '$ⲙⲡⲁⲧⲉ', 'ⲉⲧⲉⲙⲡⲁⲧⲉϥ', 'ⲉⲧⲉⲙⲡⲁⲧⲉⲧⲉⲛ', 'ⲉⲧⲉⲙⲡⲁⲧⲉⲥ', 'ⲉⲧⲉⲙⲡⲁⲧⲉⲛ', 'ⲉⲧⲉⲙⲡⲁⲧⲉⲕ', 'ⲉⲧⲉⲙⲡⲁⲧⲟⲩ', 'ⲉⲧⲉⲙⲡⲁϯ', 'ⲉⲧⲉⲙⲡⲁⲧⲉ', 'ⲛⲉⲙⲡⲁⲧⲉⲧⲉⲛ', 'ⲛⲉⲙⲡⲁⲧⲉⲕ', 'ⲛⲉⲙⲡⲁⲧⲉⲥ', 'ⲛⲉⲙⲡⲁⲧⲉⲛ', 'ⲛⲉⲙⲡⲁϯ', 'ⲛⲡⲁⲧⲉϥ', 'ⲛⲡⲁⲧⲉⲥ', 'ⲛⲡⲁⲧⲉⲕ', 'ⲛⲡⲁⲧⲟⲩ', 'ⲛⲡⲁⲧⲉ', 'ⲛⲉⲙⲡⲁⲧⲉϥ', 'ⲛⲉⲙⲡⲁⲧϥ', 'ⲛⲉⲙⲡⲁⲧⲥ', 'ⲛⲉⲙⲡⲁⲧⲟⲩ', 'ⲉⲙⲡⲁⲧⲉϥ', 'ⲉⲙⲡⲁⲧⲉⲥ', 'ⲉⲙⲡⲁⲧⲉⲕ', 'ⲙⲡⲁⲧⲉⲧⲉⲛ', 'ⲉⲙⲡⲁⲧⲉⲧⲉⲛ', 'ⲙⲡⲁⲧⲉϥ', 'ⲙⲡⲁⲧⲉⲥ', 'ⲙⲡⲁⲧⲉⲕ', 'ⲛⲉⲙⲡⲁⲧⲉ', 'ⲉⲙⲡⲁⲧϥ', 'ⲉⲙⲡⲁⲧⲥ', 'ⲉⲙⲡⲁⲧⲉⲛ', 'ⲉⲙⲡⲁⲧⲕ', 'ⲉⲙⲡⲁⲧⲟⲩ', 'ⲉⲙⲡⲁϯ', 'ⲉⲙⲡⲁⲧⲉ', 'ⲙⲡⲁⲧϥ', 'ⲙⲡⲁⲧⲥ', 'ⲙⲡⲁⲧⲉⲛ', 'ⲙⲡⲁⲧⲕ', 'ⲙⲡⲁⲧⲟⲩ', 'ⲙⲡⲁϯ', 'ⲙⲡⲁⲧⲉ']",[]
ⲁⲧ- ,['12'],[' (+ infinitive)'],"['ⲁⲧϣ', 'ⲁⲑ', 'ⲁⲧ']",[]
