ID,DICT,MOT,"MOT_TRI,C,60",CD_MOT,TYPE,"REF_LEMME,C,90",id_1,pos_1,id_2,pos_2,id_3,pos_3,id_4,pos_4,id_5,pos_5,id_6,pos_6,id_7,pos_7,id_8,pos_8,id_9,pos_9,id_10,pos_10
6447,DACT,ϥⲁⲧⲕ,ϥⲧⲕ ⲁ,6447,2,1567 5,1567,5,,,,,,,,,,,,,,,,,,
6448,DACT,ϥⲁⲧⲛⲉ,ϥⲧⲛ ⲁⲉ,6448,2,1567 5,1567,5,,,,,,,,,,,,,,,,,,
6449,DACT,ⲧⲕⲉ,ⲧⲕ  ⲉ,6449,2,590 4,590,4,,,,,,,,,,,,,,,,,,
6450,DACT,ⲛⲁϩⲙⲥ,ⲛϩⲙⲥ ⲁ,6450,2,1761 5,1761,5,,,,,,,,,,,,,,,,,,
6451,DACT,ⲛⲁϩⲙϥ,ⲛϩⲙϥ ⲁ,6451,2,1761 5,1761,5,,,,,,,,,,,,,,,,,,
6452,DACT,ⲛϩⲟⲩⲧ,ⲛϩⲧ  ⲩ1,6452,2,1769 5,1769,5,,,,,,,,,,,,,,,,,,
6453,DACT,ⲛϩⲟⲩⲧⲥ,ⲛϩⲧⲥ  ⲩ 1,6453,2,1769 5,1769,5,,,,,,,,,,,,,,,,,,
6454,DACT,ⲧⲉⲉⲛⲉ,ⲧⲛ ⲉⲉⲉ,6454,2,698 5,698,5,,,,,,,,,,,,,,,,,,
6455,DACT,ⲧⲛⲧⲱⲛⲕ,ⲧⲛⲧⲛⲕ   ⲱ,6455,2,3655 5,3655,5,,,,,,,,,,,,,,,,,,
6456,DACT,ⲧⲛⲧⲱⲛⲛⲉ,ⲧⲛⲧⲛⲛ   ⲱ ⲉ,6456,2,3655 5,3655,5,,,,,,,,,,,,,,,,,,
6457,DACT,ⲧⲛⲧⲱⲛⲧ,ⲧⲛⲧⲛⲧ   ⲱ,6457,2,3655 5,3655,5,,,,,,,,,,,,,,,,,,
6458,DACT,ⲧⲉⲧⲙ,ⲧⲧⲙ ⲉ,6458,2,7513    14913    24013     8711,75,13,149,13,240,13,87,11,,,,,,,,,,,,
6459,DACT,ⲑⲃⲃⲓⲁⲉⲓ,ⲧϩⲃⲃⲓⲓ     ⲁ21,6459,2,802 5,802,5,,,,,,,,,,,,,,,,,,
6460,DACT,ⲑⲃⲃⲓⲁⲕ,ⲧϩⲃⲃⲓⲕ     ⲁ2,6460,2,802 5,802,5,,,,,,,,,,,,,,,,,,
6461,DACT,ⲑⲃⲃⲓⲁⲛ,ⲧϩⲃⲃⲓⲛ     ⲁ2,6461,2,802 5,802,5,,,,,,,,,,,,,,,,,,
6462,DACT,ⲧⲁϭⲛⲉ,ⲧϭⲛ ⲁ ⲉ,6462,2,3740 5   1080 5,3740,5,1080,5,,,,,,,,,,,,,,,,
6463,DACT,ⲟⲩⲁϩⲛⲉ,ⲩϩⲛ ⲁ ⲉ1,6463,2,609 5   7234 5,609,5,7234,5,,,,,,,,,,,,,,,,
6464,DACT,ⲉⲍⲉⲕⲓⲏⲗ,ⲉⲍⲉⲕⲓⲏⲗ,6464,2,646732,6467,32,,,,,,,,,,,,,,,,,,
6465,DACT,ⲉⲗⲉⲓⲥⲁⲓⲉ,ⲉⲗⲉⲓⲥⲁⲓⲉ,6465,1,646532,6465,32,,,,,,,,,,,,,,,,,,
6466,DACT,ⲉⲗⲓⲥⲁⲓⲟⲥ,ⲉⲗⲓⲥⲁⲓⲟⲥ,6466,2,646532,6465,32,,,,,,,,,,,,,,,,,,
