COPT_LEMMA,POS 1,POS 2,FORMS,SENSES
ⲥⲱⲣⲙⲉ ,['5'],[],"['ⲥⲁⲣⲙⲉϥ', 'ⲥⲁⲣⲙⲛ', 'ⲥⲁⲣⲙⲉⲕ', 'ⲥⲁⲣⲙⲉⲧ', 'ⲥⲁⲣⲙⲟⲩ', 'ⲥⲁⲣⲙⲉ', 'ⲥⲁⲣⲙⲉⲥ', 'ⲥⲱⲣⲙⲉ']","[' ""lead astray""']"
ⲥⲁⲣⲙⲉ ,['1'],[],['ⲥⲁⲣⲙⲉ'],"[' ""lees, dregs""']"
ⲥⲱⲧⲙⲉ ,['5'],[],"['ⲥⲁⲧⲙⲟⲩ', 'ⲥⲁⲧⲙⲉⲥ', 'ⲥⲁⲧⲙⲉϥ', 'ⲥⲱⲧⲙⲉ']","[' ""hear""']"
ⲥⲱⲧⲡ ,['5'],[],"['ⲥⲁⲧⲡϥ', 'ⲥⲁⲧⲡⲥ', 'ⲥⲁⲧⲡⲕ', 'ⲥⲁⲧⲡⲛ', 'ⲥⲁⲧⲡⲟⲩ', 'ⲥⲁⲧⲡⲧ', 'ⲥⲁⲧⲡ', 'ⲥⲱⲧⲡ']","[' ""choose""']"
ⲥⲱⲧⲡ ,['1'],[],['ⲥⲱⲧⲡ'],"[' ""elect""']"
ⲥⲱⲟⲩϩ ,['5'],[],"['ⲥⲁⲟⲩϩϥ', 'ⲥⲁⲟⲩϩⲥ', 'ⲥⲱϩⲟⲩ', 'ⲥⲟⲟⲩϩ', 'ⲥⲱⲩϩ', 'ⲥⲁⲩϩϥ', 'ⲥⲁⲩϩⲛ', 'ⲥⲁⲩϩⲟⲩ', 'ⲥⲁⲩϩⲥ', 'ⲥⲁⲩϩ', 'ⲥⲱⲟⲩϩ']","[' ""gather""']"
ⲥⲁⲩϩⲥ ,['1'],[],"['ⲥⲁⲟⲩϩⲥ', 'ⲥⲁⲩϩⲥ']","[' ""congregation""']"
ⲥⲁⲩⲛⲉ ,['5'],[],"['ⲥⲛⲟⲩⲱⲛϥ', 'ⲥⲛⲟⲩⲱⲛⲥ', 'ⲥⲛⲟⲩⲱⲛⲟⲩ', 'ⲥⲟⲩⲱⲛⲉ', 'ⲥⲟⲩⲱⲛϥ', 'ⲥⲟⲩⲱⲛⲧ', 'ⲥⲟⲩⲱⲛⲥ', 'ⲥⲟⲩⲱⲛⲕ', 'ⲥⲟⲩⲱⲛⲟⲩ', 'ⲥⲟⲩⲱⲛ', 'ⲥⲁⲩⲛⲉ']","[' ""be acquainted with""']"
ⲥⲁⲩⲧⲛⲉ ,['5'],[],"['ⲥⲟⲩⲧⲱⲛⲟⲩ', 'ⲥⲟⲩⲧⲱⲛϥ', 'ⲥⲟⲩⲧⲱⲛⲕ', 'ⲥⲟⲩⲧⲱⲛⲧ', 'ⲥⲟⲩⲧⲛ', 'ⲥⲟⲩⲧⲱⲛ', 'ⲥⲟⲩⲧⲁⲛⲧ', 'ⲥⲁⲩⲧⲛⲉ']","[' ""straighten, stretch""']"
ⲥⳉⲛⲉ ,['1'],[],['ⲥⳉⲛⲉ'],"[' ""happening, incident""']"
ⲧⲉⲕⲟ ,['5'],[],"['ⲧⲉⲕⲁⲓⲧ', 'ⲧⲉⲕⲁⲕ', 'ⲧⲉⲕⲁⲓ', 'ⲧⲉⲕⲉ', 'ⲧⲉⲕⲱ', 'ⲧⲉⲕⲁⲉⲓⲧ', 'ⲧⲉⲕⲁⲁϥ', 'ⲧⲉⲕⲁϥ', 'ⲧⲉⲕⲁⲩ', 'ⲧⲉⲕⲁⲥ', 'ⲧⲉⲕⲟ']","[' ""ruin, destroy""']"
ϯⲕⲉ ,['5'],[],"['ⲧⲉⲕⲟⲩⲉ', 'ⲧⲉⲕⲧ', 'ⲧⲉⲕϥ', 'ⲧⲉⲕⲧⲟⲩ', 'ⲧⲉⲕⲥ', 'ⲧⲉⲕⲟⲩ', 'ϯⲕ', 'ϯⲕⲉ', 'ⲧⲉⲕ']","[' ""throw, cast""']"
ϯⲕ ,['1'],[],['ϯⲕ'],"[' ""spark""']"
ⲧⲱϭ ,['5'],[],"['ⲧⲱϭ', 'ⲧⲱⲕ']","[' ""kindle""']"
ⲧⲱⲙ ,['5'],[],"['ⲧⲏⲙ', 'ⲧⲱⲙ']","[' ""shut""']"
ⲧⲱⲙ (*) ,['5'],[],"['ⲧⲁⲁⲙⲟⲩ', 'ⲧⲏⲙ', 'ⲧⲱⲙ']","[' ""sharpen""']"
ⲧⲟⲩⲙⲉ ,['5'],[],"['ⲧⲟⲩⲟⲩⲙⲉ', 'ⲧⲟⲩⲙⲉ', 'ⲧⲁⲁⲙⲟⲩ', 'ⲧⲱⲙⲉ']","[' ""join, make to fit""']"
ⲧⲱⲙⲉ ,['1'],[],"['ⲧⲱⲙⲉⲥ', 'ⲧⲱⲙⲉ']","[' ""purse, wallet""']"
ⲧⲣⲓⲣ ,['1'],[],['ⲧⲣⲓⲣ'],"[' ""oven""']"
ⲧⲁⲩ ,['1'],[],"['ⲧⲁⲩⲟⲩ', 'ⲧⲟⲩⲉⲉⲓⲉ', 'ⲧⲟⲩⲓⲉ', 'ⲧⲟⲩⲓⲉⲟⲩⲉ', 'ⲧⲟⲩⲓⲉⲩⲉ', 'ⲧⲟⲩⲉⲓⲉ', 'ⲧⲟⲩⲉⲓ', 'ⲧⲟⲩⲓⲉⲓ', 'ⲧⲁⲩ']","[' ""mountain""']"
ⲧⲱⳉ ,['5'],[],"['ⲧⲏⳉ', 'ⲧⲱⳉ']","[' ""stir up, mix""']"
ⲧⲁⲙⲟ ,['5'],[],"['ⲧⲁⲙⲁⲉⲓ', 'ⲧⲉⲙⲁⲓ', 'ⲙⲁⲧⲁⲙⲁⲛ', 'ⲙⲁⲧⲁⲙⲁⲓ', 'ⲙⲁⲧⲁⲙⲁⲉⲓ', 'ⲙⲁⲧⲁⲙⲟ', 'ⲧⲁⲙⲉ', 'ⲧⲁⲙⲁⲩ', 'ⲧⲁⲙⲱⲧⲛⲉ', 'ⲧⲁⲙⲁⲛ', 'ⲧⲁⲙⲁⲥ', 'ⲧⲁⲙⲁϥ', 'ⲧⲁⲙⲁⲕ', 'ⲧⲁⲙⲁⲓ', 'ⲧⲁⲙⲟ']","[' ""inform, instruct""']"
ⲧⲛⳉⲟ ,['5'],[],"['ⲧⲛⳉⲁⲉⲓ', 'ⲧⲛⳉⲁⲛ', 'ⲧⲛⳉⲁⲓ', 'ⲙⲁⲧⲛⳉⲁⲩ', 'ⲙⲁⲧⲛⳉⲟ', 'ⲧⲛⳉⲁⲕ', 'ⲧⲛⳉⲁϥ', 'ⲧⲛⳉⲁⲩ', 'ⲧⲛⳉⲁⲥ', 'ⲧⲛⳉⲟ']","[' ""make alive, revive""']"
ⲧⲥⲉⲃⲟ ,['5'],[],"['ⲧⲥⲁⲃⲁⲓ', 'ⲧⲥⲉⲃⲁⲛ', 'ⲧⲥⲉⲃⲁⲉⲓ', 'ⲧⲥⲉⲃⲉ', '~ⲥⲉⲃⲟ', 'ⲧⲥⲉⲃⲱⲧⲛⲉ', 'ⲧⲥⲉⲃⲁⲕ', 'ⲧⲥⲉⲃⲁⲓ', 'ⲧⲥⲉⲃⲁϥ', 'ⲧⲥⲉⲃⲁⲩ', 'ⲧⲥⲉⲃⲁⲥ', 'ⲧⲥⲉⲃⲁⲓⲧ', 'ⲧⲥⲉⲃⲁⲉⲓⲧ', 'ⲧⲥⲉⲃⲟ']","[' ""make wise, teach""']"
ⲧⲥⲧⲟ ,['5'],[],"['ⲥⲧⲁϥ', 'ⲥⲧⲁⲩ', 'ⲥⲧⲁⲥ', 'ⲧⲥⲧⲁϥ', 'ⲧⲥⲧⲁⲩ', 'ⲧⲥⲧⲁⲥ', 'ⲥⲧⲟ', 'ⲧⲥⲧⲟ']","[' ""turn back/down""']"
ⲧⲉϩⲟ ,['5'],[],"['ⲧⲉϩⲱⲕ', 'ⲧⲁϩⲟ', 'ⲧⲉϩⲁⲛ', 'ⲧⲉϩⲁⲕ', 'ⲧⲉϩⲁⲓ', 'ⲧⲉϩⲁⲉⲓ', 'ⲧⲉϩⲁϥ', 'ⲧⲉϩⲁⲩ', 'ⲧⲉϩⲁⲥ', 'ⲧⲉϩⲉ', 'ⲧⲉϩⲟ']","[' ""reach, befall""']"
ⲟⲩⲁⲡ ,['5'],[],"['ⲛⲟⲩⲁⲡ', 'ⲟⲩⲁⲡ', 'ⲟⲩⲁⲁⲃⲉ', 'ⲟⲩⲁⲃⲉ']","[' ""be pure, holy""']"
ⲟⲩⲛⲟⲩ ,['1'],[],"['ⲩⲛⲟⲩ', 'ⲟⲩⲛⲟⲩ']","[' ""hour""']"
ⲟⲩⲁⲛ ,['10'],[' (indef. pronoun)'],['ⲟⲩⲁⲛ'],[]
ⲟⲩⲣⲏⲧⲉ ,['1'],[],"['ⲟⲩⲣⲉⲧⲉ', 'ⲟⲩⲣⲏⲧⲉ']","[' ""foot""']"
ⲟⲩⲣⳉⲉ ,['1'],[],['ⲟⲩⲣⳉⲉ'],"[' ""watch-tower""']"
ⲟⲩⲱⲧ ,['1'],[],['ⲟⲩⲱⲧ'],"[' ""single, same""']"
ⲟⲩⲱϣⲃⲉ ,['5'],[],"['~ⲱϣⲃⲉ', 'ⲟⲩⲱϣϥⲉ', 'ⲟⲩⲱϣⲃⲉ']","[' ""answer""']"
ⲱⲗⲕ ,['5'],[],"['ⲁⲗⲕⲟⲩ', 'ⲁⲗⲕⲉ', 'ⲱⲗⲕ']","[' ""bend, turn up""']"
ⲱⲙⲕ ,['5'],[],"['ⲁⲙⲕⲥ', 'ⲁⲙⲕⲟⲩ', 'ⲁⲙⲕϥ', 'ⲱⲙⲕ']","[' ""swallow""']"
ⲱⲛⳉ ,['5'],[],"['ⲁⲛⳉ', 'ⲱⲛⳉ']","[' ""live""']"
ⲁϩⲉ ,['14'],[],"['ⲁϩⲟ', 'ⲁϩⲉ']","[' ""yea, indeed""']"
ⲁϩⲉ ,['1'],[],['ⲁϩⲉ'],"[' ""lifespan""']"
ϣⲉ ,['1'],[],"['ϣⲉ', 'ϣⲉ']","[' ""hundred""']"
ϣⲉ ,['5'],[],['ϣⲉ'],"[' ""go""']"
ⳉⲉ ,['1'],[],['ⳉⲉ'],"[' ""wood""']"
ϣⲗⲏⲗ ,['5'],[],['ϣⲗⲏⲗ'],"[' ""pray""']"
ϣⲛⲉ ,['1'],[],"['ϣⲛⲏⲟⲩ', 'ϣⲛⲉ']","[' ""net""']"
ϣⲓⲛⲉ ,['5'],[],"['ϣⲛⲧⲟⲩ', 'ϣⲛⲧⲛⲉ', 'ϣⲛⲧⲥ', 'ϣⲛⲧϥ', 'ϣⲛⲧⲉ', 'ϣⲛⲧⲕ', 'ϣⲛⲧ', 'ϣⲙ', 'ϣⲛ', 'ϣⲓⲛⲉ']","[' ""ask, question""']"
ϣⲓⲛⲉ ,['1'],[],"['ϣⲙ', 'ϣⲛ', 'ϣⲓⲛⲉ']","[' ""news, report""']"
ϣⲏⲛ ,['1'],[],"['ϣⲏⲛ', 'ϣⲛ']","[' ""tree""']"
ϣⲛⲏ ,['1'],[],['ϣⲛⲏ'],"[' ""garden""']"
ϣⲱⲡ ,['5'],[],"['ϣⲁⲡϥ', 'ϣⲡ', 'ϣⲁⲡⲟⲩⲉ', 'ϣⲁⲡⲕ', 'ϣⲁⲡⲛⲉ', 'ϣⲁⲡⲟⲩ', 'ϣⲁⲡⲥ', 'ϣⲁⲡⲧ', 'ϣⲁⲡ', 'ϣⲏⲡ', 'ϣⲱⲡ']","[' ""receive, buy""']"
ϣⲏⲣⲉ ,['1'],[],"['ϣⲏⲣ', 'ϣⲣ', 'ϣⲏⲣⲉ']","[' ""son, child""']"
ϣϣⲉ ,['5'],[],"['ⲉϣϣⲉ', 'ⲥϣⲉ', 'ϣϣⲉ']","[' ""it is fitting""']"
ϣⲁϫⲛⲉ ,['5'],[],['ϣⲁϫⲛⲉ'],"[' ""take counsel""']"
ⳉⲁⲉ ,['1'],[],"['ⳉⲁⲉⲓⲓ', 'ⲛⳉⲁⲉ', 'ⳉⲁⲉⲓ', 'ⳉⲁⲓ', 'ⳉⲁⲉⲩⲉ', 'ⳉⲁⲉⲟⲩⲉ', 'ⳉⲁⲓⲉⲓⲉ', 'ⳉⲁⲓⲉⲓ', 'ⳉⲁⲉ']","[' ""last (thing, person)""']"
ⳉⲱⲗ ,['5'],[],"['ⳉⲁⲗϥ', 'ⳉⲁⲗⲥ', 'ⳉⲁⲗⲕ', 'ⳉⲁⲗⲟⲩ', 'ⳉⲁⲗ', 'ⳉⲱⲗ']","[' ""despoil""']"
ⳉⲱⲗ ,['5'],[],"['ⳉⲁⲗϥ', 'ⳉⲁⲗⲥ', 'ⳉⲁⲗⲕ', 'ⳉⲁⲗⲟⲩ', 'ⳉⲱⲗ']","[' ""(cause to) flow, shed""']"
ⳉⲱϣϥ ,['5'],[],"['ⳉⲁϣϥⲥ', 'ⳉⲁϣϥⲟⲩ', 'ⳉⲁϣϥ', 'ⳉⲱϣϥ']","[' ""crush, destroy""']"
ⳉⲱⲥϥ ,['5'],[],"['ⳉⲁⲥϥ', 'ⳉⲁϣϥ', 'ⳉⲱϣϥ', 'ⳉⲱⲥϥ']","[' ""despise""']"
ⳉⲙⳉⲉⲗ ,['1'],[],['ⳉⲙⳉⲉⲗ'],"[' ""slave""']"
ⳉⲉⲗ ,['1'],[],['ⳉⲉⲗ'],"[' ""slave""']"
ⳉⲟⲩⲛ ,['1'],[],"['ϩⲓⳉⲟⲩⲛ', 'ϣⲁⳉⲟⲩⲛ', 'ⲛⳉⲟⲩⲛ', 'ⲁⳉⲟⲩⲛ', 'ⳉⲟⲩⲛ']","[' ""inside""']"
ⳉⲁⲣⲡ ,['1'],[],"['ⳉⲣⲡⲙ', 'ϫⲓⲛⲛⳉⲁⲣⲡ', 'ⳉⲣⲡⲛ', 'ⳉⲣⲡ', 'ϫⲛⲛⳉⲁⲣⲡ', 'ⲛⳉⲁⲣⲡ', 'ⳉⲁⲣⲡ', 'ⳉⲁⲣⲡ']","[' ""first""']"
ⳉⲁⲣⳉⲣⲉ ,['5'],[],"['ⳉⲣⳉⲁⲣⲧ', 'ⳉⲣⳉⲣⲉ', 'ⳉⲣⳉⲱⲣϥ', 'ϩⲣϩⲱⲣϥ', 'ⳉⲣⳉⲱⲣⲥ', 'ⳉⲣⳉⲱⲣⲟⲩ', 'ⳉⲁⲣⳉⲣⲉ']","[' ""upset, overturn""']"
ⳉⲧⲁⲣⲧⲣⲉ ,['5'],[],"['ⳉⲧⲣⲧⲣⲉ', 'ⳉⲧⲣⲧⲱⲣϥ', 'ⳉⲧⲣⲧⲱⲣⲥ', 'ⳉⲧⲣⲧⲱⲣⲟⲩ', 'ⳉⲧⲣⲧⲁⲣⲧ', 'ⳉⲧⲁⲣⲧⲣⲉ']","[' ""disturb, trouble""']"
ⳉⲓⲥⲉ ,['5'],[],"['ⳉⲁⲥⲉ', 'ⳉⲓⲥⲉ', 'ϩⲓⲥⲉ']","[' ""weary, trouble""']"
ϩⲉⲗ (in ⲣϩⲉⲗ ,['1'],[],['ϩⲉⲗ'],"[' ""deceive""']"
ϩⲁⲉⲓⲛⲉ ,['10'],[],"['~ⲁⲓⲛⲉ', '~ⲁⲉⲓⲛⲉ', 'ϩⲁⲓⲛⲉ', 'ϩⲁⲉⲓⲛⲉ']","[' ""some""']"
ϩⲓⲕⲏⲧ ,['1'],[],['ϩⲓⲕⲏⲧ'],"[' ""prudent, mild""']"
ϩⲙⲙⲉ (in ⲣϩⲙⲙⲉ ,['1'],[],['ϩⲙⲙⲉ'],"[' ""steer, guide""']"
ϩⲙⲁⲧ ,['1'],[],"['ϩⲁⲙⲧ', 'ϩⲙⲟⲧ', 'ϩⲙⲟⲟⲧ', 'ϩⲙⲁⲧ']","[' ""grace, gift""']"
ϩⲛⲱⲱϩⲉ ,['1'],[],"['~ⲛⲱϩⲉ', '~ⲛⲱⲱϩⲉ', 'ϩⲛⲟϩⲉ', 'ⲛⲟϩⲉ', 'ϩⲛⲱⲱϩⲉ', 'ϩⲛⲱϩⲉ']","[' ""fear""']"
ⲣⲉⲧ⸗ ,['1'],[],"['ⲣⲉⲧⲟⲩⲉ', 'ⲣⲉⲧϥ', 'ⲣⲉⲧⲥ', 'ⲣⲉⲧⲛⲉ', 'ⲣⲉⲧⲕ', 'ⲣⲉⲧⲟⲩ', 'ⲣⲉⲧⲉ', 'ⲣⲉⲧ']","[' ""foot""']"
ϩⲉⲡ ,['1'],[],"['~ⲉⲡ', 'ϩⲉⲡ']","[' ""judgment""']"
ϩⲱⲡ ,['5'],[],"['ⲛϩⲱⲡ', 'ϩⲁⲡⲛⲉ', 'ϩⲁⲡⲧ', 'ϩⲁⲡⲛ', 'ϩⲁⲡⲕ', 'ϩⲁⲡϥ', 'ϩⲁⲡⲥ', 'ϩⲁⲡⲟⲩ', '~ⲏⲡ', 'ϩⲏⲡ', 'ϩⲱⲡ']","[' ""hide""']"
ϩⲁⲡⲥ ,['5'],[],['ϩⲁⲡⲥ'],"[' ""it is necessary""']"
ϩⲣⲁϣ ,['5'],[],"['ϩⲁⲣϣ', 'ϩⲣⲁϣ']","[' ""be heavy""']"
ϩⲟⲩⲟ ,['1'],[],"['~ⲟⲩⲟ', 'ⲛϩⲟⲩⲱ', 'ⲛϩⲟⲩ', 'ϩⲟⲩⲉ', 'ⲛϩⲟⲩⲟ', 'ϩⲟⲩⲟ', 'ϩⲟⲩⲟ']","[' ""surplus, more""']"
ϫⲱⲕ ,['5'],[],"['ϫⲁⲁⲕⲟⲩ', 'ϫⲁⲕϥ', 'ϫⲁⲕⲥ', 'ϫⲁⲕⲟⲩ', 'ϫⲏⲕ', 'ϫⲱⲕ']","[' ""complete""']"
ϫⲛⲟ ,['5'],[],['ϫⲛⲟ'],"[' ""delay""']"
ϫⲡⲓⲟ ,['5'],[],"['ϫⲡⲓⲉ', 'ϫⲡⲓⲁϥ', 'ϫⲡⲓⲁⲩ', 'ϫⲡⲓⲁⲥ', 'ϫⲡⲓⲁⲛ', 'ϫⲡⲓⲁⲕ', 'ϫⲡⲓⲁⲉⲓ', 'ϫⲡⲓⲁⲓ', 'ϫⲡⲓⲟ']","[' ""put to shame""']"
ϫⲓⲟⲩⲉ ,['5'],[],"['ⲛϫⲓⲟⲩⲉ', 'ϫⲓⲟⲩⲉ']","[' ""steal""']"
ϭⲱⲗϫ ,['5'],[],"['ϭⲁⲗϫϥ', 'ϭⲁⲗϫⲥ', 'ϭⲁⲗϫⲟⲩ', 'ϭⲁⲗϫ', 'ϭⲱⲗϫ']","[' ""entangle, ensnare""']"
ϭⲱⲗϫ ,['5'],[],"['ϭⲁⲗϫϥ', 'ϭⲁⲗϫⲥ', 'ϭⲁⲗϫⲟⲩ', 'ϭⲁⲗϫ', 'ϭⲱⲗϫ']","[' ""bend""']"
ϭⲱⲡⲉ ,['5'],[],"['ϭⲁⲡⲧ', 'ϭⲁⲡ', 'ϭⲁⲡϥ', 'ϭⲁⲡⲥ', 'ϭⲁⲡⲟⲩ', 'ϭⲱⲡ', 'ϭⲏⲡ', 'ϭⲱⲡⲉ']","[' ""seize, take""']"
ϭⲁⲡ ,['1'],[],['ϭⲁⲡ'],"[' ""sole, foot""']"
ⲕⲟⲩⲡⲣⲉ ,['1'],[],['ⲕⲟⲩⲡⲣⲉ'],"[' ""blossom (of vine)""']"
ⲁⲉⲓϣ ,['1'],[],"['ⲁⲓϣ', 'ⲁⲉⲓϣ']","[' ""cry""']"
ⲁⲉⲓⲕ ,['1'],[],"['ⲁⲓⲕ', 'ⲁⲉⲓⲕ']","[' ""bread""']"
ϥⲱⲧⲉ ,['5'],[],"['ϥⲁⲧⲛⲉ', 'ϥⲁⲧⲕ', 'ϥⲁⲧ', 'ⲃⲟⲧⲉ', 'ⲃⲱⲧⲉ', 'ϥⲱⲧ', 'ϥⲁⲧϥ', 'ϥⲁⲧⲥ', 'ϥⲁⲧⲟⲩ', 'ϥⲁⲧⲉ', 'ϥⲱⲧⲉ']","[' ""wipe (off)""']"
ⲥⲱⲧⲉ ,['5'],[],"['ⲥⲁⲁⲧⲟⲩ', 'ⲥⲁⲧ', 'ⲥⲁⲧⲛⲉ', 'ⲥⲁⲧⲟⲩ', 'ⲥⲁⲧϥ', 'ⲥⲁⲧⲥ', 'ⲥⲁⲧⲛ', 'ⲥⲁⲧⲕ', 'ⲥⲱⲧ', 'ⲥⲁⲧⲉ', 'ⲥⲱⲧⲉ']","[' ""redeem, rescue""']"
ⲧⲱⲛⲉ ,['5'],[],"['ⲧⲱⲛϥ', 'ⲧⲱⲛⲥ', 'ⲧⲱⲛⲕ', 'ⲧⲱⲛⲟⲩ', 'ⲧⲱⲛⲉ', 'ⲧⲱⲱⲛ', 'ⲧⲱⲛ']","[' ""rise""']"
ⲁⲛⲥⲙⲙⲉ ,['1'],[],['ⲁⲛⲥⲙⲙⲉ'],"[' ""ordinance""']"
ⲁⲡⲉ ,['1'],[],"['ⲁⲡⲏⲟⲩⲉ', 'ⲁⲡⲏⲩⲉ', 'ⲁⲡⲉ']","[' ""head""']"
ⲁϣⲉⲓ̈(ⲧⲉ) ,['5'],[],"['ⲁϣ', 'ⲁϣⲉⲓⲧⲉ', 'ⲁϣⲉⲉⲓⲧⲉ', 'ⲁϣⲉⲓ', 'ⲁϣⲉⲉⲓ']","[' ""be numerous""']"
ϩⲗⲉⲓ ,['10'],[' (indef. pronoun)'],"['ϩⲗⲓ', 'ϩⲗⲉⲓ']",[]
ⲛⲱⲉ ,['32'],[' (ⲛⲱϩⲉ)'],"['ⲛⲱϩⲉ', 'ⲛⲟϩⲉ', 'ⲛⲱⲉ']",[]
ⲉⲙⲁϩⲧⲉ ,['5'],[],"['ⲁⲙⲁϩⲉ', 'ⲁⲙⲁϩⲧⲉ', 'ⲉⲙⲁϩⲧⲉ']","[' ""seize, restrain""']"
ⲟⲩⲁⲉⲓϣ ,['1'],[],"['~ⲁⲓϣ', '~ⲁⲉⲓϣ', 'ⲟⲩⲁⲓϣ', 'ⲟⲩⲁⲉⲓϣ']","[' ""time""']"
ⲣⲉϣⲉ ,['5'],[],['ⲣⲉϣⲉ'],"[' ""rejoice""']"
ⲁⲙⲛⲧⲉ ,['3'],[],"['ⲉⲙⲛⲧⲉ', 'ⲁⲙⲛⲧⲉ']","[' ""Hades""']"
ⲁⲙⲏⲛ ,['36'],[' (ϩⲁⲙⲏⲛ)'],"['ⲁⲙⲏⲛ', 'ϩⲁⲙⲏⲛ']",[]
ϩⲓ ,['1'],[],"['ⲁⲑⲓ', '~ⲓⲑⲓ', 'ⳉⲁⲧϩⲉⲓ', 'ⳉⲁⲑⲉⲓ', 'ϩⲓⲧⲉϩⲓ', 'ϩⲓⲧϩⲓ', 'ϩⲓⲑⲓ', 'ⳉⲁⲧⲉϩⲓ', '~ⲓ', 'ⳉⲁⲧϩⲓ', 'ⳉⲁⲑⲓ', 'ⲉϩⲓⲉⲓ', 'ⲉϩⲓ', 'ϩⲏⲧⲉ', 'ϩⲏⲧⲟⲩ', 'ϩⲏⲧϥ', 'ϩⲏⲧⲥ', 'ϩⲏⲧⲛⲉ', 'ϩⲏⲧⲕ', 'ϩⲉⲓ', 'ϩⲓ', 'ϩⲏⲧ']","[' ""fore part, beginning""']"
ⲧⲁϣⲉⲁⲉⲓϣ ,['5'],[],"['~ⲁϣⲉⲁⲉⲓϣ', 'ⲧⲁϣⲉⲁⲉⲓϣ', 'ⲧⲁϣⲉⲁⲓϣ']","[' ""preach""']"
ⲟⲩⲉⲛ ,['5'],[],"['ⲩⲉⲛ', '~ⲉⲛ', 'ⲟⲩⲏⲛ', 'ⲉⲩⲉⲛ', 'ⲁⲟⲩⲛ', 'ⲉⲟⲩⲉⲛ', 'ⲟⲩⲉⲛ']","[' ""open""']"
ⲟⲩⲁⲙϥ ,['1'],[],"['~ⲁⲙϥ', 'ⲟⲩⲁⲛϥ', 'ⲟⲩⲁⲙϥ']","[' ""manger""']"
ϫⲓⲛϫⲓ ,['1'],[],"['ⲁⲡϫⲓⲛϫⲓ', 'ϫⲓⲛϫⲓ']","[' ""emptiness""']"
ⲣⲥⲟⲩ ,['1'],[],"['ⲣⲥⲁⲟⲩⲉ', 'ⲣⲥⲁⲩⲉ', 'ⲣⲥⲟⲩ']","[' ""fold""']"
ⲉⲛⲧⲟⲗⲏ,['31'],[],[],[]
ⲃⲟⲏⲑⲉⲓⲁ,['31'],[],[],[]
ⲉⲩⲫⲣⲁⲛⲉ,['35'],[],[],[]
ⲅⲛⲱⲙⲏ,['31'],[],[],[]
ⲇⲓⲁⲑⲏⲕⲏ,['31'],[],[],[]
ⲁⲡⲁⲣⲭⲏ,['31'],[],[],[]
ⲧⲁⲙⲓⲉⲓⲟⲛ ,['31'],[' (ⲧⲁⲙⲓⲟⲛ)'],['ⲧⲁⲙⲓⲟⲛ'],[]
ⲙⲁⲥⲧⲓⲅⲟⲩ,['35'],[],[],[]
ⲫⲟⲣⲉⲓ,['35'],[],[],[]
ⲛⲟⲙⲟⲥ,['31'],[],[],[]
ⲭⲁⲣⲓⲥ,['31'],[],[],[]
ⲥⲁⲣⲝ,['31'],[],"['ⲥⲁⲣⲕⲥ', 'ⲥⲁⲣⲕⲁ']",[]
ⲃⲟⲏⲑⲉⲓ,['35'],[],[],[]
ⲁⲕⲁⲑⲁⲣⲧⲟⲥ,['34'],[],['ⲁⲕⲁⲑⲁⲣⲧⲟⲛ'],[]
ⲕⲗⲏⲣⲟⲛⲟⲙⲉⲓ,['35'],[],['ⲕⲗⲏⲣⲟⲛⲟⲙⲓ'],[]
ϩⲉⲧ ,['1'],[],"['ϩⲉⲧ', '~ⲉⲧ']","[' ""silver""']"
ⲉⲣⲏϩ(ⲧⲉ) ,['5'],[],"['ϩⲁⲣⲉϩ', 'ⲁⲣⲏϩⲧⲉ', 'ⲁⲣⲏϩ', 'ⲉⲣⲏϩⲧⲉ', 'ⲉⲣⲏϩ']","[' ""keep, guard""']"
ⲉⳉⲱⲡⲉ ,['7'],[],['ⲉⳉⲱⲡⲉ'],"[' ""if""']"
ⲉϩⲟ ,['1'],[],"['ⲁϩⲟ', 'ⲉϩⲱ', 'ⲉϩⲱⲣ', 'ⲉϩⲟ']","[' ""treasure""']"
ⲉⲓⲁⲙ ,['1'],[],"['ⲓⲁⲙ', 'ⲉⲓⲁⲙ']","[' ""sea""']"
ⲉⲓⲁⲙ ,['1'],[],"['ⲓⲁⲙ', 'ⲉⲓⲁⲙ']","[' ""wine press""']"
ⲉⲓⲱⲧⲉ ,['1'],[],"['ⲓⲱⲧⲉ', 'ⲉⲓⲱⲧⲉ']","[' ""dew""']"
ⲕⲉⲕⲉ ,['1'],[],['ⲕⲉⲕⲉ'],"[' ""darkness""']"
ⲕⲗⲟⲟⲗⲉ ,['1'],[],"['ⲕⲗⲟⲗⲉ', 'ⲕⲗⲟⲟⲗⲉ']","[' ""cloud""']"
ⲕⲉⲉⲥ ,['1'],[],"['ⲕⲉⲥ', 'ⲕⲉⲉⲥ']","[' ""bone""']"
ⲕⲱϩ ,['5'],[],"['~ⲱϩ', 'ⲕⲱϩ', 'ⲕⲟϩ']","[' ""be zealous""']"
ⲗⲉⲥ ,['1'],[],['ⲗⲉⲥ'],"[' ""tongue""']"
