COPT_LEMMA,POS 1,POS 2,FORMS,SENSES
"ⲁ-, ⲁⲣⲁ⸗",['8'],[],"['ⲣⲁϥ', 'ⲣⲁⲩ', 'ⲣⲁⲥ', 'ⲣⲁⲛ', 'ⲣⲁⲕ', 'ⲣⲁⲉⲓ', 'ⲣⲱⲧⲛⲉ', 'ⲣⲁⲓ', 'ⲣⲟ', 'ⲁⲣⲱ', 'ⲁⲣⲁⲛ', 'ⲁⲣⲟ', 'ⲁⲣⲁⲕ', 'ⲁⲣⲁⲥ', 'ⲁⲣⲁⲩ', 'ⲁⲣⲁⲓ', 'ⲁⲣⲁϥ', 'ⲁⲣⲁⲉⲓ', 'ⲁⲣⲱⲧⲛⲉ', 'ⲉ', 'ⲁ']",[]
ⲥⲟⲫⲓⲁ,['31'],[],[],[]
"ⲙⲛ-, ⲛⲉⲙⲉ⸗",['8'],[],"['ⲛⲉⲙⲉⲉⲓ', 'ⲛⲙⲙⲁⲓ', 'ⲛⲉⲙⲉ', 'ⲛⲙ', 'ⲛⲙⲙⲁⲩ', 'ⲙⲛⲛ', 'ⲛⲉⲙⲉϥ', 'ⲛⲉⲙⲏⲧⲛⲉ', 'ⲛⲉⲙⲉⲥ', 'ⲛⲉⲙⲉⲕ', 'ⲛⲉⲙⲉⲓ', 'ⲙⲙⲛ', 'ⲛⲉⲙⲉⲩ', 'ⲛⲉⲙⲉⲛ', 'ⲙⲛ']",[]
ⲥⲃⲟⲩ ,['1'],[],"['ⲥⲃⲁⲩⲉ', 'ⲥⲃⲟⲩ']","[' ""teaching""']"
ⲉⲓⲣⲉ] ⲣ- ,['5'],[' (with Greek vbs)'],"['ⲁⲣ', 'ⲉⲣⲓ', 'ⲁⲣⲓ', 'ⲣ']",[]
"ⲟⲩ-, ϩⲉⲛ- ",['10'],[' (indef. art.)'],"['~ⲉⲛ', 'ⲩⲟⲩ', 'ϩⲙ', 'ϩⲉⲙ', 'ⲩ', 'ⲟⲩ', 'ϩⲛ', 'ϩⲉⲛ']",[]
ϣⲉϫⲉ ,['1'],[],['ϣⲉϫⲉ'],"[' ""speak""']"
ⲛ- ,['8'],[' (attributive)'],"['ⲛⲛ', 'ⲣ', 'ⲛ', 'ⲙ']",[]
ⲙⲛⲧ- ,['12'],[' (nominal abstract)'],"['ⲙⲟⲛⲧ', 'ⲧⲙⲛⲧ', 'ⲙⲛⲧ']",[]
ⲣⲙ(ⲛ)- ,['12'],[],"['ⲣⲙⲙ', 'ⲣⲙ', 'ⲣⲙⲛ']","[' ""man of""']"
